productcategory_id,material_id,outer_diameter,height,weight,heattreatmentcategory_id,heattreatment_temperatures,forming_temperatures,dimension,input_weight,workplace_id,product_id,mes_datetime,value
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:13:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:14:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:15:00,84.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:16:00,53.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:17:00,53.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:18:00,53.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:19:00,53.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,26.0,2012-05-29 10:20:00,53.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:05:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:06:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:07:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:08:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:09:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:10:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:11:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:12:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:13:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:14:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:15:00,72.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:16:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:17:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:18:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:19:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:20:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:21:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:22:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:23:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:24:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:25:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:26:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:27:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:28:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:29:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:30:00,76.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:31:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:32:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:33:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:34:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:35:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:36:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:37:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:38:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:39:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:40:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:41:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:42:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:43:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:44:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:45:00,74.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:46:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:47:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:48:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:49:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:50:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:51:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:52:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:53:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:54:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:55:00,51.0
